country,lifeExpectancy,healthcareExpenditure,literacyRate,pm25
India,67,56.60,76.3,83.2
Qatar,79,2188.38,97.7,76
Ukraine,70,269.73,100,14.5
Jordan,74,298.64,98.4,30.6
Indonesia,68,132.96,96,19.4
United Kingdom,81,5634.18,99,10.1
Australia,83,5901.11,98.8,6.7
Argentina,75,863.71,99.1,13.5
Iraq,70,202.31,86,48.5
United Arab Emirates,79,2191.81,98.3,43.7
Thailand,79,305.09,94.1,27.4
Sri Lanka,76,151.06,92.4,20
United States,76,11702.41,79,7.7
Sudan,65,23.39,60.7,54.7
Singapore,83,3537.00,97.1,18.8
Kuwait,79,1532.56,96.5,61
Costa Rica,77,953.08,98,17.4
Cyprus,81,2245.36,99.4,15.6
New Zealand,82,4201.63,99,6
China,78,583.43,97.2,47.7
Colombia,73,477.27,95.6,22
Switzerland,84,10309.76,98.6,9.9
Nepal,68,58.31,71.2,83.1
Nigeria,53,69.76,62,70.4
Finland,82,4726.14,100,5.6
France,82,4768.73,99.3,11.4
Israel,83,3867.40,91.75,19.8
Mexico,70,538.57,95.2,20.1
Malaysia,75,418.66,83,16.6
Maldives,80,825.57,97.9,10.9
Mauritius,74,560.41,92.2,14.9
Uzbekistan,71,120.50,100,34.8
Spain,83,2900.65,98.6,9.7
Italy,83,3351.48,99.3,16.1
Egypt,70,150.91,74.5,67.9
Pakistan,66,38.18,58,62.6
Hungary,74,1163.25,99.1,16.5
Japan,84,4388.10,99,13.5
Romania,73,809.59,98.9,15.7
Brazil,73,700.71,94.7,11.7
Bangladesh,72,50.66,74.9,63.4
Saudi Arabia,77,1291.13,97.6,61.5
Belgium,82,5009.46,98.7,12.7
Yemen,64,63.30,54,44.5
Bulgaria,72,856.70,98.4,19.4
Vietnam,74,166.23,96.2,20.4
Sweden,83,6914.91,99.3,5.6
Morocco,74,187.40,77.3,35.1
Dominican Republic,73,354.10,95.5,17.7
Lebanon,75,994.49,95.3,29
